date,price,sma,signal,trend_following,buy_and_hold
2022-05-09,375.80963134765625,420.35436950683595,0,94046.01490960937,91986.38689876825
2022-05-10,376.677978515625,420.1768051147461,0,94046.01490960937,92198.93099528005
2022-05-11,370.6940307617188,419.9787141418457,0,94046.01490960937,90734.24864720147
2022-05-12,370.3069763183594,419.77952896118165,0,94046.01490960937,90639.50988372149
2022-05-13,379.1602783203125,419.6161051940918,0,94046.01490960937,92806.51997434348
2022-05-16,377.6217956542969,419.45498947143557,0,94046.01490960937,92429.94776876782
2022-05-17,385.38970947265625,419.3370123291016,0,94046.01490960937,94331.28894336607
2022-05-18,369.85394287109375,419.12472045898437,0,94046.01490960937,90528.6215336576
2022-05-19,367.5888366699219,418.9112437438965,0,94046.01490960937,89974.19472282623
2022-05-20,367.7491760253906,418.6855773925781,0,94046.01490960937,90013.4407579381
2022-05-23,374.6298828125,418.4909031677246,0,94046.01490960937,91697.62153421657
2022-05-24,371.7700500488281,418.28361190795897,0,94046.01490960937,90997.62435180925
2022-05-25,375.0545654296875,418.0901728820801,0,94046.01490960937,91801.57049208043
2022-05-26,382.5487365722656,417.9290644836426,0,94046.01490960937,93635.90806276674
2022-05-27,391.9400024414063,417.80869705200195,0,94046.01490960937,95934.59480107659
2022-05-31,389.74072265625,417.67354751586913,0,94046.01490960937,95396.28022810898
2022-06-01,386.5882873535156,417.5177291870117,0,94046.01490960937,94624.66313998171
2022-06-02,393.9503173828125,417.412413482666,0,94046.01490960937,96426.65671903605
2022-06-03,387.48486328125,417.2974822998047,0,94046.01490960937,94844.11674971745
2022-06-06,388.664794921875,417.18527297973634,0,94046.01490960937,95132.92693273327
2022-06-07,392.3929748535156,417.0753483581543,0,94046.01490960937,96045.4682116524
2022-06-08,388.1267395019531,416.92586700439455,0,94046.01490960937,95001.22787581335
2022-06-09,378.89599609375,416.72691436767576,0,94046.01490960937,92741.83199107953
2022-06-10,367.9096374511719,416.4686375427246,0,94046.01490960937,90052.71667202606
2022-06-13,353.9407958984375,416.1528999328613,0,94046.01490960937,86633.58326932535
2022-06-14,352.874267578125,415.81318374633787,0,94046.01490960937,86372.5306551096
2022-06-15,357.9049987792969,415.4893684387207,0,94046.01490960937,87603.89554854047
2022-06-16,346.0596923828125,415.10945770263675,0,94046.01490960937,84704.53681413516
2022-06-17,346.8056945800781,414.7321553039551,0,94046.01490960937,84887.1347068473
2022-06-21,355.5361328125,414.39200988769534,0,94046.01490960937,87024.07160802117
2022-06-22,354.8915405273437,414.04915496826175,0,94046.01490960937,86866.29567470695
2022-06-23,358.370361328125,413.7312644958496,0,94046.01490960937,87717.8016751908
2022-06-24,369.7643432617188,413.47291442871096,0,94046.01490960937,90506.69036519769
2022-06-27,368.3518981933594,413.2165214538574,0,94046.01490960937,90160.96820244881
2022-06-28,360.825439453125,412.9390393066406,0,94046.01490960937,88318.72764258315
2022-06-29,360.5316467285156,412.6547608947754,0,94046.01490960937,88246.81641684621
2022-06-30,357.60260009765625,412.3670994567871,0,94046.01490960937,87529.87785498823
2022-07-01,361.3847351074219,412.08101135253906,0,94046.01490960937,88455.62564134509
2022-07-05,362.0671997070313,411.80165313720704,0,94046.01490960937,88622.6715269954
2022-07-06,363.2900695800781,411.5487655639648,0,94046.01490960937,88921.9916398556
2022-07-07,368.7311096191406,411.3575871276855,0,94046.01490960937,90253.78724171415
2022-07-08,368.4278564453125,411.1668145751953,0,94046.01490960937,90179.56039532919
2022-07-11,364.2190551757813,410.9351675415039,0,94046.01490960937,89149.3781177468
2022-07-12,360.9961242675781,410.66246475219725,0,94046.01490960937,88360.5059209198
2022-07-13,359.1002502441406,410.3768600463867,0,94046.01490960937,87896.4555430573
2022-07-14,358.2281494140625,410.09284896850585,0,94046.01490960937,87682.9926680303
2022-07-15,365.0721435546875,409.884875793457,0,94046.01490960937,89358.18734224567
2022-07-18,362.0577697753906,409.65840911865234,0,94046.01490960937,88620.3633760914
2022-07-19,371.84027099609375,409.50574813842775,0,94046.01490960937,91014.81223281275
2022-07-20,374.2101440429688,409.34102752685544,0,94046.01490960937,91594.88267488491
2022-07-21,378.020751953125,409.2216136169434,0,94046.01490960937,92527.59973241788
2022-07-22,374.513427734375,409.0637538146973,0,94046.01490960937,91669.11699101389
2022-07-25,374.9684143066406,408.8997303771973,0,94046.01490960937,91780.48340469543
2022-07-26,370.5321350097656,408.69589797973634,0,94046.01490960937,90694.62165514428
2022-07-27,380.153564453125,408.54392349243165,0,94046.01490960937,93049.64520289715
2022-07-28,384.9216003417969,408.43065063476564,0,94046.01490960937,94216.71053975342
2022-07-29,390.5332946777344,408.35045211791993,0,94046.01490960937,95590.27695020458
2022-08-01,389.3768005371094,408.257158203125,0,94046.01490960937,95307.2035306006
2022-08-02,386.8079223632813,408.11670288085935,0,94046.01490960937,94678.42288773584
2022-08-03,392.8651123046875,407.9907341003418,0,94046.01490960937,96161.03262147648
2022-08-04,392.5997619628906,407.8572505187988,0,94046.01490960937,96096.08319717163
2022-08-05,391.9362182617188,407.70427505493166,0,94046.01490960937,95933.66855281738
2022-08-08,391.4811706542969,407.5407261657715,0,94046.01490960937,95822.28719964778
2022-08-09,389.9266052246094,407.3638726806641,0,94046.01490960937,95441.77843897049
2022-08-10,398.1165466308594,407.23017196655275,0,94046.01490960937,97446.41870370237
2022-08-11,398.1165466308594,407.085079498291,0,94046.01490960937,97446.41870370237
2022-08-12,404.85638427734375,406.9717639160156,0,94046.01490960937,99096.11914155747
2022-08-15,406.524658203125,406.8762599182129,0,94046.01490960937,99504.46016847511
2022-08-16,407.3208923339844,406.7642028808594,0,94046.01490960937,99699.35325985381
2022-08-17,404.42974853515625,406.6333303833008,1,94036.61124848452,98991.69212007595
